,Usuarios,Comentarios,Curtidas,Data
39,@carloscarudo,"Nada contra o público LGBT, mais ninguém avisou que esse carro era para homossexual, meu amigo comprou e agora vai processar a Volkswagen porque não consegui vender o carro, tem muitos vendendo na olx, o problema que se o carro era para o público LGBT, a Volkswagen tinha que avisar antes, porque rotular o carro depois que as pessoas compraram e enganação então cabe processo aí, se era um carro a esse tipo de público LGBT, tem que avisar antes da pessoas comprarem, todos tem direito de escolher o que vai comprar, isso é errado, agora meu amigo que comprou esse veículo não está conseguindo vender o seu carro, e agora ele vende para quem ? Isso não tem cabimento.",4,2022-06-06T00:53:47Z
40,@ritacosta2048,"É lógico que se entenda que qualquer mensagem passada pra sociedade, que venha a chocar a maioria, tenha a repercussão e a resposta também à altura…. Nada mais normal….",1,2022-06-05T14:26:44Z
41,@brucepinto2395,"É um avanço perder 15 a 30 %, do valor de mercado, parabéns .",1,2022-06-05T11:20:37Z
42,@deusgrande3105,Será o carro da Globo,1,2022-06-03T04:15:11Z
43,@oexercitodemaria,Abalo emocional kkk cada loucura que gente ve kkkk  olha esse jornalista que imundice kkkk,1,2022-06-03T03:59:21Z
44,@isrcavalcante,😁😁😁😁😁😁😁😁😁😏👍,0,2022-06-03T03:17:48Z
45,@precisodeferiascomrogerio,"Tem que chamar a atenção pela polemica, porque se for pelo carro. Pelo amor.. verdadeiras carroças..",1,2022-06-02T21:07:32Z
46,@aprendiz5861,Quem lacra não lucra !,1,2022-06-01T23:46:35Z
47,@pauloleal3036,"🤮🤮🤮🤮 <a href=""http://www.youtube.com/results?search_query=%23lacrob0stas"">#LacroB0stas</a>",0,2022-06-01T15:59:19Z
48,@vagnersilva103,Polo só queima óleo? 🤣🤣🤣🤣🤣👉,1,2022-06-01T06:25:32Z
49,@vagnersilva103,Temos problema com novo Polo se vc roda 1 semana com ele solta rodinha 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1,2022-06-01T06:23:00Z
50,@vagnersilva103,🤣🤣🤣🤣🤣🤣  agora lacra e lucra com novo poly 🤣🤣🤣🤣🤣🤦‍♂️💩💩,1,2022-06-01T06:21:46Z
51,@duducksp,O Brasil está regredindo! Nunca se tornará uma Alemanha!,1,2022-06-01T04:08:03Z
52,@BRUNOBARBOSA1995,Brasil é um país pobre e doente !,1,2022-05-31T20:25:18Z
53,@wagnerluiz8613,"só sei q quem comprar um e não for gay vai sofrer zueiras.amigos não perdoam <a href=""http://msm.eu/"">msm.eu</a> sou um.c algum amigo meu comprar ja vou falar q ele esta queimando a rosca.zuar o amigo não é homofobia.quem eu nao conheço não zuarei é claro.respeito quem da o jiló.",1,2022-05-31T16:09:39Z
54,@mrximoveisea,Que 💩,1,2022-05-31T14:11:03Z
55,@claudiasayuri1534,"Só sei que os valores estão invertidos, como se fosse o certo.",1,2022-05-31T00:26:57Z
56,@tittomarazzisofaleiaverdad1562,HAHAHAHAHAHHAHAHAHAHAHAHAHAHHAHAHA!,1,2022-05-31T00:23:49Z
57,@METALIZON,Quem não quiser eu tô aceitando doação de Polo. Receba,1,2022-05-30T12:46:35Z
58,@eduardoposgraduado,Acho q algum estagiário vai ser demitido,1,2022-05-29T20:04:14Z
59,@KlausPixelGames,Esse pretin da testa oleosa sempre querendo lacrar 😂😂😂,1,2022-05-29T17:44:57Z
60,@tigreinfernal6661,"Motor do Polo vêm fundido de fábrica.<br>Podem usar a vontade militantes da UOL, estou fora.",1,2022-05-29T14:39:49Z
61,@marcelocampos3466,Se a bíblia diz não a mulher com mulher e homem com homem ##,0,2022-05-29T12:54:10Z
62,@marcelocampos3466,Queimo o carro nem chego perto fama pra vida toda,0,2022-05-29T12:47:11Z
63,@aleksanderalek8564,Kkkkkkk<br>Polo não pola..<br>Kkkkkkkk,2,2022-05-29T11:56:23Z
64,@euromartins7654,Um casal de gay..no  GOL<br>Agora qual marca vai ser do casal d lésbicas.🤔🤔,0,2022-05-29T00:01:52Z
65,@euromartins7654,Essa propaganda foi criada por gays .o que vcs queriam q eles colocarem casais normais ..todo tipo de trabalhos hoje em dia <br>Estão cheio de gays..tá difícil saber quem e homem.. Mais.Ficou 💩não gostei...,0,2022-05-28T23:58:35Z
66,@ayrtonmonteiro7745,"pelos comentários odiondos, eu agradeço milhões de vezes ter saído do Brasil, vcs tem uma mentre muito antiquada.",0,2022-05-28T20:47:21Z
67,@ToninhoCaipira,O Polo realmente queimou o virabrequim 🤦🏻‍♂️🤣🤣🤣,0,2022-05-28T17:15:23Z
68,@andreydiga22,Lacração,0,2022-05-28T13:28:08Z
69,@ericoyokoyama1,"Novo Poly, Uol! Ai qie delícia de carro cara!",0,2022-05-28T01:15:03Z
70,@ericmartins8448,"Já é um carro bosta, de plástico, rotulado de tchola, aí então não rola.",0,2022-05-27T21:32:28Z
